20150926,114959,315238,5934,4645
20150925,113255,309304,4907,3981
20150924,111942,304397,4809,3956
20150923,110763,299588,5591,4127
20150922,108984,293997,5054,3678
20150921,107319,288943,4907,3614
20150920,104939,282112,4230,3187
20150919,103635,277882,6405,4636
20150918,101377,271477,5119,3614
20150917,99557,266358,4281,3332
20150916,98310,262077,4134,3278
20150915,97117,257943,4152,3132
20150914,95796,253791,4206,3136
20150913,94430,249585,5182,3847
20150912,92672,244403,5671,4262
20150911,90908,238732,4069,3176
20150910,89796,234663,3752,3007
20150909,88770,230911,4018,3065
20150908,87536,226893,3769,2934
20150907,86413,223124,4933,3474
20150906,84616,218191,4651,3424
20150905,83063,213540,4544,3405
20150904,81644,208996,3966,3108
20150903,80530,205030,3943,2833
20150902,79176,201087,4053,2920
20150901,77725,197034,4065,2912
20150831,76290,192969,3912,2819
20150830,74887,189057,4767,3276
20150829,72877,184290,4498,3242
20150828,71164,179792,3675,2703
20150827,70367,176117,3641,2609
20150826,69084,172476,3290,2416
20150825,68039,169186,3216,2370
20150824,66970,165970,3145,2494
20150823,66059,162825,3800,2826
20150822,64630,159025,3777,2734
20150821,63153,155248,3624,2632
20150820,62323,151624,3276,2470
20150819,61350,148348,3280,2400
20150818,60253,145068,3261,2439
20150817,59218,141807,3346,2567
20150816,58214,138461,3442,2544
20150815,57057,135019,3448,2563
20150814,55948,131571,3303,2426
20150813,54867,128268,3205,2307
20150812,53787,125063,3249,2431
20150811,52758,121814,3588,2560
20150810,51528,118226,3628,2556
20150809,50243,114598,3583,2418
20150808,48881,111015,3298,2156
20150807,47547,107717,3367,2185
20150806,46159,104350,3362,2226
20150805,44841,100988,3085,2023
20150804,43593,97903,3093,1879
20150803,42204,94810,2134,1543
20150802,41448,92676,1914,1370
20150801,40730,90762,1806,1290
20150731,40043,88956,1768,1350
20150730,39433,87188,1782,1327
20150729,38824,85406,1683,1296
20150728,38288,83723,1815,1361
20150727,37661,81908,1817,1339
20150726,37053,80091,1725,1254
20150725,36442,78366,1597,1092
20150724,35808,76769,1765,1155
20150723,35070,75004,1731,1162
20150722,34391,73273,1641,1202
20150721,33829,71632,1707,1185
20150720,33200,69925,1582,1128
20150719,32616,68343,1593,1136
20150718,32057,66750,1567,1074
20150717,31475,65183,1544,1084
20150716,30622,63639,1475,1085
20150715,30372,62164,1614,1044
20150714,29633,60550,1499,1086
20150713,29139,59051,1529,995
20150712,28498,57522,1499,981
20150711,27883,56023,1402,879
20150710,27280,54621,1478,1015
20150709,26733,53143,1529,940
20150708,26039,51614,1494,915
20150707,25354,50120,1476,921
20150706,24712,48644,1374,879
20150705,24143,47270,1157,880
20150704,23779,46113,1038,688
20150703,23379,45075,1191,766
20150702,22874,43884,1301,837
20150701,22315,42583,1357,911
20150630,21768,41226,1415,811
20150629,21064,39811,1312,837
20150628,20516,38499,1394,808
20150627,19863,37105,1262,722
20150626,19262,35839,1305,723
20150625,18616,34534,1290,770
20150624,18025,33244,1227,706
20150623,17415,32017,1201,701
20150622,16842,30816,1178,685
20150621,16288,29638,1223,752
20150620,15761,28415,1223,717
20150619,15204,27192,1462,905
20150618,14463,25730,1844,955
20150617,13636,23886,1130,638
20150616,13114,22756,1124,618
20150615,12539,21632,1151,665
20150614,12010,20481,1274,629
20150613,11323,19207,1082,532
20150612,10733,18125,1046,519
20150611,10156,17079,1040,489
20150610,9578,16039,982,514
20150609,9060,15057,988,504
20150608,8568,14069,936,472
20150607,8071,13133,962,449
20150606,7527,12171,900,408
20150605,7010,11271,910,420
20150604,6512,10361,850,387
20150603,6044,9511,801,381
20150602,5616,8710,875,400
20150601,5137,7835,833,367
20150531,4646,7002,933,345
20150530,4037,6069,914,351
20150529,3480,5155,846,306
20150528,2936,4309,665,228
20150527,2491,3644,635,188
20150526,2042,3009,417,143
20150525,1763,2592,427,134
20150524,1463,2165,351,140
20150523,1250,1814,338,122
20150522,1035,1476,224,68
20150521,883,1252,203,81
20150520,761,1049,169,55
20150519,651,880,161,52
20150518,540,719,139,48
20150517,446,580,166,43
20150516,323,414,151,33
20150515,205,263,81,22
20150514,144,182,112,24
20150513,56,70,70,13
